Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
#Farш,бургерная,Рестораны,"проспект Победы, 141",1 этаж,420100,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.3,473,88432584151,,,,,http://farshburger.ru,,,https://vk.com/farsh_burgers,https://wa.me/79600484151,,,,,,55.780494,49.213485,https://2gis.com/firm/70000001044946241,branch
1 st Gallery kitchen,,Рестораны; Диетические продукты; Банкетные залы; Кафе-кондитерские; Кафе,"Шоссейная улица, 57",1 этаж,420066,,Кировский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-24:00,+03:00,5.0,1306,89033190932,,,,,,,,,https://wa.me/79872907736,,,https://t.me/79872907736,,,55.807652,49.08944,https://2gis.com/firm/70000001083242224,branch
1 st Gallery kitchen,ресторан,Рестораны; Кафе,"улица Краснококшайская, 52",1 этаж,420032,Ягодная слобода м-н,Кировский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:30-01:00; Вт: 07:30-01:00; Ср: 07:30-01:00; Чт: 07:30-01:00; Пт: 07:30-03:00; Сб: 09:00-03:00; Вс: 09:00-01:00,+03:00,4.9,1037,89063270659,,,galereakrylovka@gmail.com,info@1stgallery.ru,,,,,https://wa.me/79692255888,,,https://t.me/+79692255888,,,55.809657,49.074485,https://2gis.com/firm/70000001093690622,branch
1 st Gallery kitchen,ресторан,Рестораны; Банкетные залы; Кафе; Кондитерские изделия,"Меридианная улица, 1",1 этаж,420124,Берег жилой комплекс,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:30-01:00; Вт: 07:30-01:00; Ср: 07:30-01:00; Чт: 07:30-01:00; Пт: 07:30-03:00; Сб: 09:00-03:00; Вс: 09:00-01:00,+03:00,5.0,3176,89033190955,,,2907736@gmail.com,,,,,,https://wa.me/79872907736,,,https://t.me/79872907736,,https://youtube.com/@1stgallery_kitchen,55.816922,49.114889,https://2gis.com/firm/70000001046168907,branch
108,гастробар,Рестораны; Бары; Доставка еды,"Спортивная улица, 108",1 этаж,420500,,,Иннополис,Верхнеуслонский район,Республика Татарстан,Россия,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 13:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,4.5,186,88435280655,,,,,,,,,,,,https://t.me/bar108,,,55.748385,48.741988,https://2gis.com/firm/70000001026632559,branch
4 кухни,халяль-ресторан,Рестораны; Кафе; Пиццерии; Банкетные залы,"проспект Ибрагимова, 56",3 этаж; слева от кинотеатра Киномакс,420066,,Московский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,5.0,12087,89534887777,,,,,http://4kuhni-rest.ru,,,https://vk.com/4kuhny,https://wa.me/79534887777,,,https://t.me/+79534887777,,https://youtube.com/channel/UCF1-6k27NKoZdktCindqlIw,55.820628,49.092132,https://2gis.com/firm/70000001034225506,branch
4stars,ресторан,Рестораны; Бары,"улица Лесгафта, 7",1 этаж,420043,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,5.0,39,88432352350,,,reservations.kazan@cosmosgroup.ru,,http://kazan.cosmosgroup.ru/restaurants,,,https://vk.com/cosmos.kazan,,,,https://t.me/+79777590115,,,55.787062,49.142631,https://2gis.com/firm/2956015537117148,branch
Aile,семейный ресторан,Рестораны; Банкетные залы; Доставка еды,"улица Братьев Касимовых, 22",1 этаж,420101,Горки-1 м-н,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,361,89872254999,,,,,http://aile-menu.github.io,,,,https://wa.me/79872254999,,,https://t.me/+79872254999,,,55.756296,49.189579,https://2gis.com/firm/70000001098640060,branch
Aile,семейный турецкий ресторан,Рестораны; Банкетные залы,"улица Юлиуса Фучика, 96",1 этаж,420140,Азино-2 м-н,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,4.7,47,89033449955,,,,,http://aile-menu.github.io,,,,https://wa.me/79033449955,,,https://t.me/+79033449955,,,55.768613,49.232383,https://2gis.com/firm/70000001113471251,branch
Aldente-Fusion,ресторан,Рестораны; Кейтеринг,"проспект Ямашева, 122Б",2 этаж,420133,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-19:00,+03:00,4.7,15,88432949494,,,,,,,,,,,,,,,55.824581,49.163248,https://2gis.com/firm/70000001021081797,branch
